"","status_id","status_message","link_name","status_type","status_link","status_published","num_reactions","num_comments","num_shares","num_likes","num_loves","num_wows","num_hahas","num_sads","num_angrys","year","month","day","hour","minute"
"55","348156187501_10152892547022502","b'Important Mighty Ducks-related questions'","b'> Was Charlie Conway Ever Actually Any Good At Hockey? An Investigative Report:'","link","b'http://www.barstoolsports.com/philly/random-thoughts/was-charlie-conway-ever-actually-any-good-at-hockey-an-investigative-report/'",2014-11-04 17:00:02,705,113,292,705,0,0,0,0,0,2014,11,4,17,0
"56","348156187501_10152888974062502","b'Nailed It.'","b'Timeline Photos'","photo","b'https://www.facebook.com/barstoolsports/photos/a.352575592501.188647.348156187501/10152888974062502/?type=3'",2014-11-02 21:21:32,2312,130,292,2312,0,0,0,0,0,2014,11,2,21,21
"57","348156187501_10152294055822502","b'Last Laugh'","b'Timeline Photos'","photo","b'https://www.facebook.com/barstoolsports/photos/a.352575592501.188647.348156187501/10152294055822502/?type=3'",2014-02-19 11:51:03,1079,29,285,1079,0,0,0,0,0,2014,2,19,11,51
"58","348156187501_10152874015677502","b'Every wedding video needs this'","b'This Is What It Looks Like When You Put a GoPro On a Bottle Of Fireball At a Wedding'","link","b'http://www.barstoolsports.com/dmv/super-page/this-is-what-it-looks-like-when-you-put-a-gopro-on-a-bottle-of-fireball-at-a-wedding/'",2014-10-27 09:15:01,449,118,271,449,0,0,0,0,0,2014,10,27,9,15
"59","348156187501_10152957436752502","b'The Eric Garner protests are a worthwhile cause but this girl may want to read something sometime'","b'Fox News Reporter Stumps Eric Garner Protester In NYC'","link","b'http://trib.al/1FhmFNF'",2014-12-05 12:50:01,611,47,270,611,0,0,0,0,0,2014,12,5,12,50
"60","348156187501_10152412620212502","b'This is the lunatic/idiot that shut down Boylston with his backpack http://ow.ly/vPES8'","b'> They Just Shutdown Boylston Because Of This Lunatic'","link","b'http://ow.ly/vPES8'",2014-04-15 19:28:35,167,63,269,167,0,0,0,0,0,2014,4,15,19,28
"61","348156187501_10151640240762502","b'This is currently the best picture on the Internet. Jeff Bauman  delivering Sydney Corcoran her 18th birthday present'","b'Timeline Photos'","photo","b'https://www.facebook.com/barstoolsports/photos/a.352575592501.188647.348156187501/10151640240762502/?type=3'",2013-04-23 19:44:39,49109,1941,12033,49109,0,0,0,0,0,2013,4,23,19,44
"62","348156187501_10151635290102502","b""MIT officer Sean Collier's escort.  RIP""","b'Timeline Photos'","photo","b'https://www.facebook.com/barstoolsports/photos/a.352575592501.188647.348156187501/10151635290102502/?type=3'",2013-04-20 18:51:22,62058,1746,10465,62058,0,0,0,0,0,2013,4,20,18,51
"63","348156187501_10152014642282502","b'At least Jim Joyce had a good look at the most important call of his life'","b'Timeline Photos'","photo","b'https://www.facebook.com/barstoolsports/photos/a.352575592501.188647.348156187501/10152014642282502/?type=3'",2013-10-26 23:54:58,6784,1042,8934,6784,0,0,0,0,0,2013,10,26,23,54
"64","348156187501_10151674330892502","b'Live look in at Leafs fans lungs being ripped out, stomped on, force fed back into their mouths and then ripped out again'","b'Timeline Photos'","photo","b'https://www.facebook.com/barstoolsports/photos/a.352575592501.188647.348156187501/10151674330892502/?type=3'",2013-05-13 21:36:07,8245,689,7841,8245,0,0,0,0,0,2013,5,13,21,36
"65","348156187501_10151626407132502","b'Joe Andruzzi....The Patriot Way'","b'Timeline Photos'","photo","b'https://www.facebook.com/barstoolsports/photos/a.352575592501.188647.348156187501/10151626407132502/?type=3'",2013-04-15 19:52:01,13141,333,7770,13141,0,0,0,0,0,2013,4,15,19,52
"66","348156187501_10151631990402502","b'Far left.  Scumbag fleeing the scene'","b'Timeline Photos'","photo","b'https://www.facebook.com/barstoolsports/photos/a.352575592501.188647.348156187501/10151631990402502/?type=3'",2013-04-18 18:53:52,6496,1833,7148,6496,0,0,0,0,0,2013,4,18,18,53
"67","348156187501_10151635199632502","","b'Timeline Photos'","photo","b'https://www.facebook.com/barstoolsports/photos/a.352575592501.188647.348156187501/10151635199632502/?type=3'",2013-04-20 17:35:28,10422,202,6711,10422,0,0,0,0,0,2013,4,20,17,35
